Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0120,0.07,0.11,-0.99,3.17,1.53,1.34
0.0270,0.08,0.09,-0.99,3.17,1.95,1.46
0.0420,0.02,0.11,-1.01,3.17,1.77,2.01
0.0570,0.03,0.12,-1.00,3.23,1.22,1.77
0.0720,0.10,0.09,-0.98,3.30,1.16,1.22
0.0830,0.06,0.12,-0.99,3.30,1.71,2.01
0.0990,0.03,0.13,-1.00,3.42,1.83,1.59
0.1170,0.04,0.11,-1.00,3.36,1.83,1.22
0.1310,0.06,0.12,-0.99,3.30,1.16,1.83
0.1470,0.07,0.13,-0.99,3.23,1.46,1.77
0.1610,0.08,0.11,-0.99,3.23,2.01,1.34
0.1770,0.05,0.12,-0.99,3.23,1.95,1.71
0.1920,0.02,0.14,-1.00,3.17,1.65,1.83
0.2070,0.06,0.12,-0.99,3.11,1.16,1.28
0.2220,0.08,0.12,-0.98,3.30,1.16,1.71
0.2370,0.06,0.13,-0.99,3.11,1.89,1.77
0.2490,0.04,0.13,-1.00,3.30,1.89,1.59
0.2660,0.04,0.12,-1.00,2.99,1.89,1.83
0.2820,0.06,0.13,-0.99,3.17,1.59,1.77
0.2970,0.08,0.12,-0.98,3.23,1.53,1.53
0.3120,0.08,0.12,-0.99,3.30,1.89,1.59
0.3270,0.03,0.13,-1.00,3.36,1.83,1.83
0.3420,0.04,0.12,-1.00,3.23,1.34,1.53
0.3570,0.07,0.11,-0.99,3.23,1.28,1.59
0.3720,0.07,0.12,-0.99,3.23,1.53,1.83
0.3870,0.06,0.12,-0.99,3.17,1.71,1.77
0.4000,0.04,0.11,-1.00,3.11,2.08,1.77
0.4170,0.04,0.12,-1.00,3.17,1.34,1.83
0.4330,0.07,0.11,-0.99,3.23,1.71,1.40
0.4500,0.07,0.11,-0.99,3.30,1.65,1.53
0.4650,0.04,0.12,-1.00,3.42,2.08,1.71
0.4810,0.03,0.12,-1.00,3.36,1.77,1.71
0.4960,0.05,0.11,-1.00,3.30,1.10,1.71
0.5100,0.07,0.11,-0.99,3.36,1.40,1.71
0.5260,0.06,0.11,-0.99,3.17,1.34,1.53
0.5410,0.05,0.11,-1.00,3.23,1.77,1.53
0.5560,0.04,0.12,-1.00,3.36,2.14,1.65
0.5710,0.05,0.12,-0.99,3.23,1.53,1.65
0.5820,0.07,0.11,-0.99,3.23,1.16,1.77
0.5990,0.06,0.12,-0.99,3.30,1.65,1.71
0.6160,0.04,0.12,-1.00,3.30,1.95,1.77
0.6330,0.04,0.12,-1.00,3.42,1.46,1.59
0.6490,0.06,0.12,-0.99,3.17,1.28,1.65
0.6640,0.07,0.12,-0.99,3.36,1.77,1.71
0.6800,0.06,0.12,-0.99,3.30,1.59,1.59
0.6950,0.04,0.13,-1.00,3.11,1.71,1.71
0.7110,0.05,0.13,-0.99,3.36,1.59,1.34
0.7180,0.07,0.12,-0.99,3.30,1.59,1.65
0.7420,0.07,0.12,-0.99,3.05,1.53,1.59
0.7580,0.05,0.12,-1.00,3.36,2.01,1.71
0.7730,0.04,0.12,-1.00,3.30,1.40,1.59
0.7880,0.05,0.12,-0.99,3.11,1.53,1.59
0.7990,0.07,0.12,-0.99,3.36,1.53,1.65
0.8180,0.07,0.12,-0.99,3.17,1.53,1.59
0.8330,0.05,0.12,-1.00,2.99,1.83,1.65
0.8490,0.04,0.12,-1.00,3.23,2.08,1.59
0.8650,0.06,0.12,-0.99,3.23,1.71,1.59
0.8800,0.06,0.11,-0.99,3.17,1.83,1.59
0.8950,0.05,0.11,-0.99,3.36,1.40,1.59
0.9110,0.05,0.11,-1.00,3.23,1.59,1.40
0.9260,0.05,0.11,-1.00,3.30,1.83,1.77
0.9410,0.06,0.11,-0.99,2.99,1.46,1.53
0.9520,0.07,0.11,-0.99,3.30,1.77,1.59
0.9690,0.05,0.12,-0.99,3.17,1.77,1.59
0.9860,0.05,0.12,-1.00,3.42,1.65,1.65
1.0030,0.05,0.12,-0.99,3.17,1.53,1.71
1.0180,0.06,0.12,-0.99,3.11,1.59,1.53
1.0340,0.06,0.12,-0.99,3.11,1.40,1.53
1.0480,0.05,0.12,-0.99,3.36,1.89,1.59
1.0520,0.05,0.12,-1.00,3.23,1.71,1.59
1.0800,0.06,0.12,-0.99,3.17,1.28,1.77
1.0940,0.06,0.12,-0.99,3.17,1.53,1.65
1.1090,0.06,0.12,-0.99,3.11,2.08,1.71
1.1200,0.05,0.12,-0.99,3.11,1.77,1.59
1.1370,0.05,0.12,-0.99,3.30,1.59,1.65
1.1540,0.06,0.12,-0.99,3.17,1.46,1.65
1.1700,0.06,0.12,-0.99,3.23,1.34,1.59
1.1860,0.06,0.12,-0.99,3.23,1.71,1.59
1.2010,0.05,0.12,-0.99,3.11,1.95,1.77
1.2150,0.05,0.12,-0.99,3.23,1.53,1.46
1.2300,0.06,0.12,-0.99,3.36,1.40,1.59
1.2360,0.06,0.12,-0.99,3.11,1.65,1.65
1.2530,0.06,0.12,-0.99,3.17,1.89,1.59
1.2720,0.05,0.12,-1.00,3.23,1.65,1.71
1.2890,0.05,0.12,-0.99,3.23,1.65,1.77
1.3060,0.06,0.12,-0.99,3.23,1.46,1.59
1.3220,0.06,0.12,-0.99,3.11,2.32,1.71
1.3380,0.05,0.12,-0.99,3.17,1.65,1.71
1.3550,0.05,0.12,-1.00,3.23,1.77,1.71
1.3710,0.06,0.11,-0.99,3.23,1.71,1.77
1.3730,0.06,0.11,-0.99,3.23,1.83,1.53
1.4020,0.06,0.12,-0.99,3.11,1.83,1.71
1.4180,0.05,0.12,-1.00,3.30,1.89,1.65
1.4340,0.05,0.12,-0.99,2.99,1.83,1.65
1.4420,0.06,0.12,-0.99,3.11,1.59,1.71
1.4580,0.06,0.12,-0.99,3.05,1.59,1.71
1.4740,0.05,0.12,-0.99,3.42,1.95,1.65
1.4930,0.05,0.12,-1.00,3.23,1.34,1.46
1.5080,0.06,0.12,-0.99,3.11,1.83,1.65
1.5240,0.06,0.12,-0.99,3.11,1.53,1.77
1.5410,0.06,0.12,-0.99,3.36,1.77,1.59
1.5580,0.05,0.12,-0.99,3.05,1.95,1.71
1.5740,0.05,0.12,-0.99,3.23,1.83,1.65
1.5900,0.06,0.12,-0.99,3.30,1.89,1.71
1.6050,0.06,0.12,-0.99,3.42,1.46,1.53
1.6180,0.06,0.12,-0.99,3.42,1.71,1.65
1.6380,0.05,0.12,-0.99,3.30,2.08,1.77
1.6530,0.05,0.12,-0.99,3.05,1.95,1.65
1.6610,0.06,0.12,-0.99,3.23,1.71,1.65
1.6770,0.06,0.12,-0.99,3.42,1.46,1.77
1.7000,0.05,0.12,-0.99,3.30,1.53,1.83
1.7150,0.05,0.12,-1.00,3.17,1.89,1.65
1.7300,0.05,0.12,-0.99,3.23,1.77,1.53
1.7450,0.06,0.12,-0.99,3.36,1.40,1.53
1.7600,0.06,0.12,-0.99,3.48,1.53,1.59
1.7760,0.05,0.12,-0.99,3.23,1.53,1.40
1.7900,0.05,0.12,-0.99,3.42,1.40,1.71
1.8040,0.06,0.12,-0.99,3.11,1.65,1.77
1.8190,0.06,0.12,-0.99,3.23,2.08,1.71
1.8320,0.06,0.12,-0.99,3.05,1.89,1.71
1.8480,0.05,0.12,-1.00,3.17,1.89,1.83
1.8650,0.05,0.12,-1.00,3.17,1.53,1.65
1.8800,0.06,0.12,-0.99,3.23,1.71,1.65
1.8950,0.06,0.12,-0.99,3.11,1.59,1.77
1.9100,0.06,0.12,-0.99,3.23,1.46,1.65
1.9270,0.05,0.12,-1.00,3.17,1.71,1.59
1.9430,0.05,0.12,-0.99,2.99,1.77,1.65
1.9590,0.06,0.12,-0.99,3.23,1.59,1.59
1.9750,0.06,0.12,-0.99,3.23,1.46,1.71
1.9900,0.05,0.12,-0.99,3.30,1.59,1.65
2.0060,0.05,0.12,-0.99,3.11,1.59,1.59
2.0210,0.05,0.12,-0.99,3.11,1.53,1.65
2.0330,0.06,0.12,-0.99,3.05,1.22,1.46
