Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0110,0.08,0.12,-0.99,1.83,3.97,1.83
0.0260,0.08,0.12,-0.99,2.01,4.09,1.89
0.0340,0.08,0.12,-0.99,2.08,4.09,2.20
0.0510,0.08,0.12,-0.99,2.50,3.72,2.08
0.0680,0.08,0.13,-1.00,3.42,3.30,1.83
0.0830,0.08,0.12,-0.99,2.99,3.60,1.95
0.1000,0.08,0.12,-0.99,3.42,3.60,2.08
0.1160,0.08,0.12,-0.99,3.36,3.66,1.95
0.1310,0.09,0.12,-0.99,3.36,3.30,1.77
0.1460,0.09,0.12,-0.99,3.05,3.42,1.65
0.1610,0.09,0.12,-0.99,3.30,3.36,1.46
0.1750,0.08,0.12,-0.99,3.11,3.48,1.40
0.1830,0.08,0.12,-0.99,3.23,3.78,1.40
0.2000,0.08,0.12,-0.99,3.54,3.85,1.59
0.2160,0.08,0.12,-0.99,3.36,3.91,1.65
0.2340,0.08,0.12,-0.99,3.11,3.97,1.71
0.2500,0.08,0.12,-0.99,3.11,3.78,1.71
0.2670,0.08,0.12,-0.99,3.36,3.54,1.77
0.2670,0.08,0.12,-0.99,3.11,3.85,2.01
0.2970,0.08,0.12,-0.99,3.30,3.78,2.08
0.3010,0.08,0.12,-0.99,3.11,3.85,1.95
0.3170,0.08,0.12,-0.99,3.30,3.60,2.01
0.3420,0.08,0.12,-0.99,3.11,3.30,1.95
0.3500,0.08,0.12,-0.99,3.30,3.66,2.14
0.3660,0.08,0.12,-0.99,3.05,3.48,2.01
0.3830,0.08,0.12,-0.99,3.30,3.66,2.08
0.4000,0.08,0.12,-0.99,3.23,3.60,2.08
0.4170,0.08,0.12,-0.99,3.17,3.78,2.01
0.4330,0.08,0.12,-0.99,3.11,3.72,2.20
0.4500,0.08,0.12,-0.99,3.05,3.85,2.01
0.4660,0.08,0.12,-0.99,2.81,3.91,2.08
0.4820,0.08,0.12,-0.99,2.75,3.85,2.14
0.4970,0.08,0.12,-0.99,2.81,3.54,2.14
0.5000,0.08,0.12,-0.99,2.75,3.85,2.08
0.5160,0.08,0.12,-0.99,2.87,3.97,1.77
0.5430,0.08,0.12,-0.99,2.62,3.72,2.62
0.5550,0.08,0.13,-0.99,2.75,3.60,3.23
0.5710,0.08,0.12,-0.99,2.69,3.36,4.33
0.5890,0.08,0.12,-0.99,2.62,3.42,5.13
0.5910,0.08,0.12,-0.99,2.56,3.30,5.31
0.6210,0.09,0.11,-0.99,2.62,3.48,4.82
0.6360,0.09,0.11,-0.99,3.05,3.42,3.54
0.6520,0.08,0.13,-0.99,3.05,3.85,2.87
0.6680,0.08,0.16,-0.99,2.26,3.42,6.35
0.6830,0.09,0.17,-0.98,1.40,2.56,11.72
0.6920,0.08,0.15,-0.99,1.71,2.01,16.48
0.7070,0.08,0.13,-0.98,1.34,2.14,16.17
0.7290,0.09,0.10,-0.99,2.01,1.83,15.81
0.7450,0.08,0.06,-1.00,2.26,2.87,9.95
0.7470,0.08,0.04,-1.00,3.11,3.17,4.46
0.7630,0.09,0.11,-0.99,4.64,3.85,1.46
0.7830,0.09,0.11,-1.00,4.58,3.91,-0.92
0.8010,0.09,0.12,-0.99,3.66,4.15,-1.46
0.8170,0.08,0.12,-0.99,3.36,4.39,-1.28
0.8340,0.08,0.12,-0.99,3.54,3.85,-1.16
0.8500,0.08,0.12,-0.99,3.60,4.27,-0.67
0.8680,0.08,0.12,-0.99,3.72,4.09,0.00
0.8830,0.08,0.12,-0.99,3.85,3.48,0.55
0.8990,0.08,0.12,-0.99,3.60,3.48,0.67
0.9150,0.09,0.11,-0.99,3.72,4.03,0.12
0.9300,0.09,0.12,-0.99,3.97,3.66,-1.28
0.9480,0.08,0.12,-0.99,3.66,4.03,-1.22
0.9510,0.08,0.12,-0.99,3.54,3.97,0.18
0.9660,0.08,0.12,-0.99,3.30,3.54,0.85
0.9910,0.08,0.12,-0.99,3.48,3.97,1.34
1.0060,0.08,0.12,-0.99,3.11,4.21,1.83
1.0240,0.08,0.12,-0.99,3.23,3.66,2.01
1.0390,0.08,0.12,-0.99,3.30,3.78,2.08
1.0550,0.08,0.12,-0.99,3.30,3.42,2.20
1.0710,0.08,0.12,-0.99,3.54,3.60,2.14
1.0870,0.08,0.12,-0.99,3.36,3.48,2.14
1.1020,0.08,0.12,-0.99,3.17,3.48,2.14
1.1180,0.08,0.12,-0.99,3.17,3.42,1.89
1.1330,0.08,0.12,-0.99,3.17,3.48,2.08
1.1410,0.08,0.12,-0.99,2.99,3.72,2.08
1.1560,0.08,0.12,-0.99,3.17,3.78,2.20
1.1800,0.08,0.12,-0.99,2.99,3.36,2.08
1.1950,0.08,0.12,-0.99,3.05,3.97,2.08
1.2120,0.08,0.12,-0.99,3.11,3.66,1.95
1.2270,0.08,0.12,-0.99,3.17,3.72,1.89
1.2430,0.08,0.12,-0.99,3.23,3.48,2.08
1.2590,0.08,0.12,-0.99,3.23,3.66,2.08
1.2750,0.08,0.12,-0.99,3.36,3.72,2.01
1.2900,0.08,0.12,-0.99,3.17,3.54,2.01
1.3050,0.08,0.12,-0.99,3.23,3.66,2.26
1.3190,0.08,0.12,-0.99,3.17,3.91,2.08
1.3340,0.08,0.12,-0.99,3.05,3.72,2.14
1.3450,0.08,0.12,-0.99,3.17,3.97,2.01
1.3620,0.08,0.12,-0.99,3.17,3.66,2.20
1.3790,0.08,0.12,-0.99,3.11,3.48,2.01
1.3950,0.08,0.12,-0.99,3.17,3.36,2.08
1.4100,0.08,0.12,-0.99,3.17,3.60,2.14
1.4240,0.08,0.12,-0.99,3.17,3.78,2.08
1.4390,0.08,0.12,-0.99,3.05,3.48,2.14
1.4560,0.08,0.12,-0.99,2.93,3.72,2.08
1.4710,0.08,0.12,-0.99,2.93,3.48,2.08
1.4870,0.08,0.12,-0.99,3.05,3.60,2.08
1.5020,0.08,0.12,-0.99,3.05,3.60,2.08
1.5120,0.08,0.12,-0.99,2.99,3.72,2.08
1.5320,0.08,0.12,-0.99,3.05,3.78,2.08
1.5490,0.08,0.12,-0.99,3.05,3.60,2.08
1.5500,0.08,0.12,-0.99,3.23,3.72,2.08
1.5660,0.08,0.12,-0.99,3.54,3.85,2.08
1.5840,0.08,0.12,-0.99,3.54,3.78,2.26
1.5990,0.08,0.12,-0.99,3.36,3.78,2.01
1.6160,0.08,0.12,-0.99,2.93,3.78,2.08
1.6330,0.08,0.12,-0.99,3.23,3.60,2.08
1.6590,0.08,0.12,-0.99,3.23,3.54,2.01
1.6670,0.08,0.12,-0.99,2.93,3.91,2.08
1.6840,0.08,0.12,-0.99,3.05,3.85,2.20
1.7010,0.08,0.12,-0.99,2.93,3.66,2.08
1.7180,0.08,0.12,-0.99,3.05,3.85,2.08
1.7350,0.08,0.12,-0.99,3.23,3.66,1.95
1.7510,0.09,0.12,-0.99,3.11,3.48,1.89
1.7670,0.08,0.12,-0.99,3.17,3.42,2.01
1.7850,0.08,0.12,-0.99,3.05,3.60,2.01
1.8010,0.08,0.12,-0.99,3.05,3.85,2.08
1.8170,0.08,0.12,-0.99,3.36,3.85,2.14
1.8310,0.08,0.12,-0.99,3.42,3.72,2.14
1.8470,0.08,0.12,-0.99,2.93,3.72,2.14
1.8620,0.08,0.12,-0.99,3.11,3.72,2.08
1.8760,0.08,0.12,-0.99,2.87,3.48,1.95
1.8920,0.08,0.12,-0.99,3.11,3.60,2.01
1.9070,0.08,0.12,-0.99,3.05,3.72,1.89
1.9180,0.08,0.12,-0.99,2.99,3.54,2.08
1.9350,0.08,0.12,-0.99,3.17,3.66,2.08
1.9510,0.08,0.12,-0.99,3.11,3.36,1.95
1.9690,0.08,0.12,-0.99,3.36,3.85,2.08
1.9690,0.08,0.12,-0.99,3.23,3.78,2.08
2.0010,0.08,0.12,-0.99,3.17,3.85,2.14
2.0020,0.08,0.12,-0.99,3.23,3.78,2.20
2.0320,0.08,0.12,-0.99,3.42,3.36,2.01
2.0480,0.08,0.12,-0.99,3.05,3.91,2.20
2.0650,0.08,0.12,-0.99,3.23,3.60,2.08
2.0680,0.08,0.12,-0.99,2.87,3.91,2.14
2.0830,0.08,0.12,-0.99,2.87,3.72,2.14
2.1070,0.08,0.12,-0.99,2.93,3.48,2.14
2.1240,0.08,0.12,-0.99,3.11,3.85,2.01
2.1400,0.08,0.12,-0.99,3.17,3.78,2.14
2.1570,0.08,0.12,-0.99,3.30,3.97,2.01
2.1730,0.08,0.12,-0.99,3.17,3.60,2.14
2.1890,0.08,0.12,-0.99,2.99,3.85,2.14
2.1910,0.08,0.12,-0.99,3.05,3.66,2.26
2.2060,0.08,0.12,-0.99,3.11,3.97,2.08
2.2350,0.08,0.12,-0.99,3.30,3.42,2.01
2.2450,0.08,0.12,-0.99,3.05,3.66,2.08
2.2610,0.08,0.12,-0.99,3.11,3.60,2.01
