Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0080,0.07,0.12,-0.99,2.87,2.99,1.77
0.0230,0.07,0.12,-0.99,3.11,2.87,1.83
0.0380,0.07,0.13,-0.99,3.17,2.14,1.65
0.0520,0.07,0.12,-0.99,3.23,2.56,1.89
0.0680,0.07,0.12,-0.99,3.30,2.44,1.65
0.0780,0.07,0.12,-0.99,3.30,2.99,1.83
0.0950,0.07,0.12,-0.99,3.23,2.75,1.77
0.1130,0.08,0.12,-0.99,3.42,2.38,1.71
0.1130,0.07,0.13,-0.99,3.30,2.56,1.83
0.1280,0.07,0.12,-0.99,3.42,2.75,1.71
0.1580,0.07,0.12,-0.99,3.36,2.56,1.59
0.1730,0.07,0.13,-0.99,3.36,2.62,1.77
0.1880,0.07,0.12,-0.99,3.48,2.08,1.71
0.2020,0.07,0.13,-0.99,3.30,2.44,1.71
0.2170,0.07,0.13,-0.99,3.42,3.11,1.77
0.2280,0.07,0.13,-0.99,3.23,3.17,1.83
0.2440,0.07,0.13,-0.99,3.36,2.44,1.65
0.2620,0.07,0.13,-0.99,3.11,2.87,1.77
0.2770,0.07,0.13,-0.99,3.17,2.75,1.71
0.2920,0.07,0.12,-0.99,3.23,2.20,1.65
0.3070,0.07,0.12,-0.99,3.17,2.38,1.83
0.3230,0.08,0.12,-0.99,3.23,2.69,1.71
0.3380,0.08,0.12,-0.99,3.23,2.26,1.77
0.3530,0.07,0.13,-0.99,3.42,2.62,1.77
0.3680,0.08,0.12,-0.99,3.17,2.44,1.77
0.3760,0.07,0.13,-0.99,3.30,2.08,1.77
0.3930,0.07,0.12,-0.99,3.23,1.89,1.83
0.4100,0.07,0.13,-0.99,3.36,2.14,1.65
0.4260,0.07,0.12,-0.99,3.30,2.38,1.83
0.4430,0.07,0.13,-0.99,3.36,2.56,1.77
0.4570,0.07,0.13,-0.99,3.36,2.38,1.71
0.4730,0.07,0.13,-0.99,3.48,2.38,1.77
0.4880,0.07,0.13,-0.99,3.11,2.62,1.77
0.5050,0.08,0.12,-0.99,3.11,2.38,1.77
0.5190,0.07,0.12,-0.99,3.30,2.26,1.71
0.5350,0.07,0.12,-0.99,3.54,2.44,1.71
0.5510,0.07,0.13,-0.99,3.36,2.69,1.77
0.5650,0.07,0.12,-0.99,2.99,2.62,1.65
0.5770,0.07,0.12,-0.99,3.11,2.69,1.71
0.5940,0.07,0.12,-0.99,3.11,2.69,1.83
0.6120,0.07,0.12,-0.99,3.17,2.56,1.53
0.6270,0.07,0.13,-0.99,2.93,2.62,1.89
0.6270,0.07,0.12,-0.99,2.87,2.69,1.89
0.6570,0.07,0.12,-0.99,2.99,2.62,1.83
0.6590,0.07,0.12,-0.99,3.05,2.62,1.83
0.6880,0.07,0.12,-0.99,3.30,2.14,2.87
0.6970,0.08,0.13,-0.99,2.93,2.26,2.75
0.7100,0.08,0.13,-0.99,3.05,2.56,2.44
0.7270,0.08,0.12,-0.99,2.99,2.62,2.69
0.7500,0.07,0.11,-0.99,3.17,2.75,2.08
0.7590,0.07,0.12,-0.99,3.54,2.14,1.95
0.7750,0.07,0.12,-0.99,3.48,2.38,1.71
0.7940,0.07,0.12,-0.99,3.42,2.62,1.83
0.8100,0.07,0.12,-0.99,3.48,2.62,1.83
0.8270,0.07,0.12,-0.99,3.60,2.50,1.83
0.8430,0.07,0.12,-0.99,3.36,2.56,1.83
0.8580,0.07,0.12,-0.99,3.42,2.56,1.77
0.8600,0.07,0.12,-0.99,3.23,2.69,1.77
