Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0110,0.07,0.12,-0.99,3.17,4.27,2.14
0.0260,0.08,0.11,-0.99,3.11,3.66,2.20
0.0400,0.08,0.12,-1.00,2.81,3.97,2.32
0.0550,0.08,0.12,-1.00,3.17,3.97,2.32
0.0660,0.08,0.12,-0.99,3.05,3.97,2.14
0.0840,0.08,0.12,-1.00,3.30,3.66,2.20
0.1000,0.07,0.12,-0.99,3.17,4.09,2.14
0.1160,0.07,0.11,-1.00,2.99,4.15,2.20
0.1180,0.07,0.11,-1.00,3.05,4.27,2.26
0.1460,0.08,0.11,-1.00,3.05,3.97,2.20
0.1610,0.08,0.11,-0.99,3.36,4.03,2.20
0.1760,0.08,0.12,-0.99,3.30,4.09,2.32
0.1910,0.08,0.12,-1.00,3.48,3.97,2.26
0.2060,0.08,0.12,-1.00,3.30,4.09,2.20
0.2170,0.08,0.12,-1.00,3.36,4.09,2.20
0.2340,0.07,0.11,-0.99,3.05,3.91,2.01
0.2490,0.07,0.11,-0.99,3.30,4.03,2.56
0.2660,0.07,0.12,-0.99,2.81,3.97,2.44
0.2810,0.08,0.12,-1.00,2.87,3.91,2.38
0.2960,0.07,0.12,-1.00,2.99,4.39,2.44
0.3110,0.07,0.12,-1.00,2.69,3.85,2.99
0.3260,0.07,0.12,-0.99,2.81,3.42,5.31
0.3420,0.07,0.11,-1.00,2.44,3.30,7.08
0.3500,0.08,0.11,-1.00,2.69,3.36,6.84
0.3660,0.08,0.11,-1.00,2.93,3.60,5.98
0.3850,0.08,0.11,-1.00,2.69,3.78,4.52
0.4020,0.08,0.12,-0.99,3.05,4.09,3.72
0.4180,0.08,0.12,-1.00,3.05,4.03,3.11
0.4350,0.07,0.12,-0.99,2.81,3.72,3.17
0.4520,0.08,0.12,-1.00,2.81,3.91,3.11
0.4690,0.08,0.12,-0.99,3.23,3.66,3.23
0.4840,0.08,0.12,-1.00,2.93,3.97,3.42
0.5000,0.08,0.11,-1.00,2.87,3.78,3.30
0.5150,0.07,0.11,-1.00,2.99,3.66,3.11
0.5310,0.07,0.11,-0.99,2.93,4.09,3.17
0.5460,0.07,0.12,-0.99,2.69,3.97,3.30
0.5520,0.08,0.11,-1.00,2.69,3.97,3.91
0.5670,0.08,0.11,-1.00,2.93,3.85,4.33
0.5930,0.08,0.11,-0.99,2.56,3.78,4.58
0.6040,0.08,0.10,-1.00,2.69,3.78,5.13
0.6210,0.07,0.13,-0.99,2.75,3.60,5.80
0.6380,0.07,0.13,-1.00,2.87,4.03,4.27
0.6530,0.08,0.12,-1.00,2.81,3.91,2.87
0.6690,0.08,0.12,-0.99,2.81,4.03,2.44
0.6840,0.08,0.12,-1.00,2.93,4.03,2.56
0.6990,0.08,0.12,-1.00,2.81,4.15,2.56
0.7040,0.08,0.12,-1.00,2.87,4.03,2.38
0.7200,0.07,0.11,-1.00,2.69,4.03,2.20
0.7400,0.07,0.11,-1.00,3.17,4.03,2.20
0.7570,0.08,0.11,-1.00,2.99,4.21,2.26
0.7730,0.08,0.11,-1.00,3.05,4.15,2.20
0.7880,0.08,0.12,-1.00,3.23,3.97,2.26
0.8060,0.07,0.12,-1.00,3.11,4.15,2.38
0.8220,0.06,0.10,-1.00,2.75,3.66,2.75
0.8390,0.07,0.14,-0.99,2.69,3.42,4.70
0.8420,0.08,0.13,-0.99,2.69,3.72,3.54
0.8570,0.08,0.12,-0.99,2.69,3.72,3.11
0.8790,0.08,0.12,-0.99,2.87,4.09,2.32
0.8960,0.07,0.12,-1.00,3.36,4.15,2.38
0.9110,0.07,0.11,-1.00,3.30,4.03,2.32
0.9280,0.07,0.11,-1.00,3.17,3.85,2.26
