Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0110,0.09,0.12,-0.99,1.83,2.56,1.65
0.0270,0.08,0.15,-1.01,2.56,2.50,1.53
0.0410,0.08,0.12,-1.00,2.62,1.83,1.65
0.0560,0.08,0.12,-0.99,3.72,2.26,1.83
0.0710,0.08,0.11,-0.99,4.09,1.95,1.89
0.0830,0.08,0.10,-0.97,3.17,2.44,1.71
0.1000,0.09,0.12,-1.00,3.36,2.32,1.77
0.1160,0.07,0.11,-0.98,3.54,1.95,1.83
0.1310,0.08,0.11,-0.99,3.30,1.83,1.65
0.1460,0.08,0.12,-1.01,3.36,1.89,1.65
0.1610,0.07,0.11,-0.97,3.23,2.26,1.65
0.1760,0.09,0.12,-1.01,3.23,2.20,1.59
0.1910,0.07,0.11,-0.98,3.23,2.14,1.59
0.2070,0.08,0.11,-0.96,3.17,1.71,1.59
0.2220,0.09,0.12,-1.01,3.48,1.95,1.65
0.2340,0.07,0.11,-0.97,3.23,2.14,1.71
0.2500,0.09,0.12,-1.01,3.30,2.14,1.71
0.2660,0.07,0.11,-0.98,3.36,1.95,1.65
0.2680,0.08,0.11,-0.97,3.36,2.08,1.77
0.2960,0.09,0.12,-1.00,3.30,2.20,1.59
0.3120,0.08,0.11,-0.98,3.11,2.38,1.65
0.3270,0.08,0.12,-0.99,3.11,2.26,1.59
0.3340,0.08,0.12,-0.99,3.30,1.71,1.77
0.3570,0.08,0.12,-0.99,3.23,1.95,1.77
0.3670,0.08,0.12,-0.99,3.23,2.26,1.71
0.3830,0.08,0.12,-0.99,3.30,2.01,1.53
0.4010,0.08,0.12,-0.99,3.30,1.83,1.65
0.4170,0.08,0.12,-1.00,3.60,1.89,1.71
0.4330,0.08,0.12,-0.99,3.36,2.08,1.65
0.4480,0.08,0.11,-0.99,3.48,1.77,1.65
0.4640,0.08,0.12,-0.99,3.36,2.32,1.65
0.4670,0.08,0.11,-0.99,3.36,2.01,1.83
0.4830,0.08,0.11,-0.99,3.48,1.95,1.83
0.5020,0.08,0.12,-0.98,3.42,2.38,1.71
0.5240,0.08,0.12,-0.99,3.36,2.01,1.71
0.5350,0.08,0.12,-0.99,3.36,2.01,1.65
0.5520,0.08,0.11,-0.99,3.36,1.59,1.71
0.5690,0.08,0.11,-0.97,3.30,2.01,1.59
0.5840,0.08,0.11,-0.98,3.23,2.14,1.53
0.5990,0.08,0.11,-0.98,3.30,2.14,1.71
0.6130,0.09,0.12,-1.01,3.36,2.20,1.77
0.6290,0.08,0.12,-1.00,3.54,1.53,1.59
0.6440,0.08,0.11,-0.97,3.36,1.83,1.59
0.6590,0.09,0.12,-1.01,3.17,2.20,1.77
0.6680,0.07,0.12,-0.99,3.17,2.26,1.77
0.6860,0.09,0.11,-0.98,3.36,2.14,1.65
0.7020,0.08,0.12,-1.01,3.23,2.08,1.71
0.7190,0.07,0.11,-0.98,3.11,2.14,1.83
0.7350,0.09,0.11,-0.99,3.48,1.89,1.65
0.7530,0.08,0.12,-1.00,3.48,2.01,1.65
0.7690,0.08,0.11,-0.98,3.54,2.01,1.71
0.7870,0.08,0.12,-1.00,3.30,1.95,1.59
0.8030,0.08,0.12,-0.98,3.23,2.08,1.71
0.8190,0.08,0.12,-1.00,3.30,2.38,1.59
0.8350,0.08,0.11,-0.98,3.36,2.01,1.71
0.8500,0.08,0.12,-0.99,3.30,1.89,1.53
0.8650,0.08,0.12,-0.99,3.30,1.71,1.46
0.8810,0.08,0.12,-0.99,3.36,2.14,1.59
0.8960,0.08,0.12,-1.00,3.30,2.08,1.65
0.9110,0.08,0.12,-1.00,3.11,2.26,1.65
0.9270,0.07,0.12,-1.00,3.23,2.20,1.71
0.9420,0.07,0.12,-1.00,3.23,2.08,1.59
0.9570,0.08,0.12,-1.00,3.23,2.20,1.53
0.9690,0.07,0.12,-1.00,3.17,1.95,1.77
0.9850,0.08,0.12,-1.00,3.36,1.95,1.65
1.0020,0.08,0.12,-0.99,3.36,1.71,1.65
1.0180,0.08,0.12,-0.99,3.54,1.89,1.65
1.0340,0.08,0.11,-0.99,3.48,1.83,1.71
1.0490,0.08,0.12,-0.98,3.30,1.65,1.77
1.0640,0.08,0.11,-0.97,3.36,1.59,1.71
1.0680,0.09,0.11,-0.98,3.30,2.08,1.83
1.0840,0.08,0.11,-0.98,3.48,2.32,1.65
1.1100,0.08,0.11,-0.98,3.30,2.14,1.77
1.1250,0.09,0.11,-0.99,3.17,1.83,1.59
1.1360,0.09,0.11,-0.98,3.17,2.01,1.71
1.1530,0.08,0.11,-0.98,3.42,1.83,1.71
1.1690,0.09,0.11,-0.98,3.23,2.26,1.65
1.1860,0.09,0.12,-0.99,3.36,2.08,1.77
1.2030,0.08,0.12,-0.99,3.17,2.32,1.71
1.2180,0.08,0.12,-0.99,3.23,2.50,1.71
1.2340,0.08,0.12,-0.99,3.23,1.83,1.71
