Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0150,0.07,0.13,-0.99,1.89,4.52,2.14
0.0300,0.08,0.13,-0.99,2.93,3.78,2.01
0.0450,0.08,0.13,-0.99,2.87,3.60,2.01
0.0600,0.08,0.13,-0.99,2.87,3.48,2.08
0.0750,0.08,0.13,-0.99,2.93,3.60,2.14
0.0840,0.09,0.14,-1.00,2.87,3.42,1.95
0.1010,0.08,0.13,-1.00,3.11,3.05,2.01
0.1170,0.08,0.13,-0.99,3.05,3.48,2.20
0.1330,0.08,0.13,-0.99,3.48,3.54,2.20
0.1500,0.08,0.13,-0.99,3.23,3.72,2.38
0.1670,0.08,0.13,-0.99,3.54,3.48,2.26
0.1670,0.08,0.13,-0.99,3.91,3.48,2.20
0.1970,0.08,0.14,-0.99,3.54,2.93,2.08
0.2130,0.08,0.13,-0.99,2.87,3.23,1.89
0.2270,0.08,0.13,-0.99,2.81,2.99,2.01
0.2380,0.08,0.13,-0.99,2.99,3.11,2.01
0.2510,0.08,0.13,-0.99,3.66,2.93,2.01
0.2670,0.08,0.13,-0.99,4.33,2.93,2.14
0.2830,0.08,0.13,-0.99,4.03,3.17,2.32
0.3000,0.08,0.14,-0.99,3.54,3.48,1.89
0.3170,0.08,0.13,-0.99,3.17,3.48,2.01
0.3330,0.08,0.13,-0.99,2.99,3.11,1.95
0.3380,0.08,0.13,-0.99,3.30,3.48,2.08
0.3510,0.08,0.13,-0.99,4.03,3.11,2.26
0.3810,0.08,0.13,-0.99,3.54,3.23,2.26
0.3970,0.08,0.14,-1.00,3.91,2.99,2.20
0.4120,0.08,0.14,-1.00,1.71,3.11,1.95
0.4270,0.08,0.14,-1.00,1.04,3.48,1.95
0.4420,0.08,0.13,-0.99,1.59,3.78,1.95
0.4500,0.07,0.13,-0.99,2.44,3.66,2.08
0.4670,0.08,0.13,-1.00,1.95,3.36,1.95
0.4840,0.08,0.13,-0.99,2.87,3.17,2.32
0.5000,0.08,0.13,-0.99,2.38,3.48,2.32
0.5170,0.08,0.13,-1.00,1.89,2.81,2.14
0.5330,0.07,0.13,-0.99,1.40,2.87,2.62
0.5500,0.07,0.13,-0.99,2.08,2.75,4.27
0.5670,0.08,0.12,-0.99,3.42,2.38,4.03
0.5830,0.07,0.13,-0.98,4.09,2.75,2.08
0.5850,0.09,0.14,-1.00,3.54,2.32,1.89
0.6000,0.08,0.13,-0.99,1.95,3.11,1.83
0.6170,0.10,0.18,-0.98,2.01,3.91,2.01
0.6380,0.08,0.12,-0.96,0.67,4.82,2.26
0.6500,0.07,0.12,-0.98,1.04,4.21,2.26
0.6730,0.08,0.12,-1.00,3.60,2.87,4.03
0.6900,0.08,0.14,-1.00,5.00,2.62,1.95
0.7060,0.08,0.13,-0.99,3.60,3.72,2.20
0.7220,0.08,0.14,-1.00,4.52,3.54,2.20
0.7380,0.08,0.14,-1.00,2.81,3.72,2.08
0.7400,0.08,0.12,-0.99,1.16,3.54,1.83
0.7560,0.08,0.12,-0.99,2.20,3.72,1.95
0.7800,0.08,0.13,-0.99,3.54,3.11,2.32
0.7960,0.08,0.13,-0.99,3.97,2.87,5.13
0.8130,0.08,0.13,-1.00,2.87,2.87,5.92
0.8290,0.07,0.13,-0.99,2.99,2.99,6.23
0.8470,0.07,0.14,-1.00,3.30,2.38,7.81
0.8630,0.08,0.13,-0.99,2.26,2.62,8.42
0.8790,0.08,0.12,-0.99,3.23,2.38,8.18
0.8950,0.08,0.13,-0.99,3.66,2.69,7.93
0.9120,0.08,0.13,-0.99,2.93,2.87,8.12
0.9270,0.08,0.12,-0.99,2.14,2.99,7.20
0.9430,0.09,0.10,-0.99,2.81,3.60,4.82
0.9590,0.08,0.13,-0.99,3.42,3.05,2.26
0.9750,0.08,0.12,-0.99,2.20,3.42,1.95
0.9900,0.08,0.13,-0.99,3.30,3.54,2.08
1.0050,0.08,0.13,-1.00,3.85,3.17,2.01
1.0130,0.07,0.12,-0.99,3.54,3.36,2.08
1.0290,0.08,0.13,-1.00,4.88,2.69,2.20
1.0500,0.08,0.13,-0.99,4.15,2.44,2.08
1.0670,0.08,0.13,-0.99,4.15,2.81,2.14
1.0840,0.08,0.13,-0.99,4.27,2.87,2.14
1.1000,0.08,0.14,-1.00,4.46,3.05,2.20
1.1160,0.08,0.14,-1.00,2.20,3.42,2.01
1.1320,0.08,0.12,-0.99,0.37,3.78,1.83
1.1390,0.08,0.13,-0.99,2.32,3.23,1.95
1.1500,0.08,0.12,-0.99,3.42,3.11,2.08
1.1780,0.08,0.13,-0.99,5.19,2.75,2.14
1.1890,0.08,0.13,-0.99,4.64,2.81,2.20
1.2050,0.08,0.14,-0.99,3.72,3.60,2.20
1.2210,0.08,0.13,-0.99,2.38,3.36,2.08
1.2390,0.08,0.13,-0.99,2.14,3.72,1.95
1.2450,0.08,0.13,-0.99,2.69,3.54,2.20
1.2690,0.08,0.13,-0.99,2.44,3.36,2.08
1.2770,0.08,0.13,-0.99,3.66,3.42,2.01
1.2930,0.08,0.13,-0.99,2.87,3.42,1.83
1.3160,0.08,0.13,-0.99,3.60,3.30,1.89
1.3310,0.08,0.13,-0.99,2.26,3.42,1.95
1.3490,0.08,0.13,-0.99,3.23,3.85,2.08
1.3650,0.08,0.13,-0.99,3.42,3.66,2.26
1.3820,0.08,0.13,-0.99,3.42,3.42,2.08
1.3970,0.08,0.15,-0.99,4.03,3.72,2.32
1.4140,0.08,0.13,-0.99,5.00,3.66,2.26
1.4150,0.08,0.13,-0.99,4.15,3.11,2.08
1.4390,0.07,0.13,-0.99,3.54,3.30,2.01
1.4490,0.08,0.13,-0.99,2.99,3.23,2.14
1.4650,0.08,0.13,-0.99,3.54,3.11,2.14
1.4800,0.08,0.13,-1.00,3.85,3.48,2.14
1.5080,0.08,0.12,-0.99,3.17,3.30,-0.18
1.5190,0.07,0.14,-0.99,3.60,3.05,0.85
