Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0090,0.09,0.11,-0.98,3.30,2.08,1.83
0.0240,0.09,0.11,-0.99,3.48,1.89,1.95
0.0290,0.09,0.11,-0.99,3.23,2.08,2.20
0.0530,0.09,0.11,-0.99,3.11,2.08,2.32
0.0620,0.09,0.11,-0.99,3.48,2.26,1.77
0.0800,0.09,0.11,-0.99,3.05,2.08,1.77
0.0950,0.09,0.11,-0.99,3.17,2.20,1.59
0.1120,0.09,0.11,-0.99,3.60,2.38,1.65
0.1290,0.09,0.11,-0.99,3.66,2.38,1.77
0.1440,0.09,0.11,-0.98,3.48,2.14,1.77
0.1600,0.09,0.11,-0.99,3.85,2.08,1.89
0.1740,0.09,0.11,-0.99,3.72,1.89,1.89
0.1890,0.09,0.11,-0.99,3.42,2.01,1.83
0.2000,0.09,0.11,-0.98,3.60,2.26,2.01
0.2190,0.09,0.11,-0.99,3.48,2.01,1.95
0.2300,0.09,0.11,-0.99,3.42,2.01,1.71
0.2450,0.09,0.11,-0.99,3.42,2.20,1.71
0.2630,0.09,0.11,-0.99,3.48,2.32,1.95
0.2790,0.09,0.11,-0.99,3.48,2.14,1.89
0.2940,0.09,0.11,-0.99,3.54,2.14,1.83
0.3000,0.09,0.11,-0.99,3.36,2.32,1.95
0.3130,0.09,0.11,-0.99,3.66,2.56,1.89
0.3400,0.09,0.11,-0.99,3.42,1.95,1.89
0.3560,0.09,0.11,-0.99,3.42,2.26,1.89
0.3730,0.09,0.11,-0.99,3.42,2.32,1.89
0.3790,0.09,0.11,-0.99,3.17,2.08,1.77
0.4000,0.09,0.11,-0.99,3.48,2.14,1.77
0.4140,0.09,0.11,-0.99,3.36,1.83,1.77
0.4310,0.09,0.11,-0.99,3.48,2.14,1.77
0.4480,0.09,0.11,-0.99,3.30,2.08,1.83
0.4650,0.09,0.11,-0.99,3.42,1.89,1.95
0.4810,0.09,0.11,-0.99,3.42,1.89,1.65
0.4970,0.09,0.11,-0.99,3.42,2.14,2.01
0.5010,0.09,0.11,-0.99,3.36,1.89,1.89
0.5270,0.09,0.11,-0.99,3.42,1.71,1.89
0.5420,0.09,0.11,-0.99,3.36,2.32,1.83
0.5570,0.08,0.11,-0.99,3.42,2.26,1.89
0.5650,0.09,0.11,-0.99,3.30,2.20,1.83
0.5890,0.09,0.11,-0.99,3.30,2.20,1.77
0.6010,0.09,0.11,-0.99,3.30,2.50,1.77
0.6140,0.09,0.11,-0.99,3.48,2.20,1.77
0.6340,0.08,0.11,-0.99,3.30,2.01,1.95
0.6500,0.05,0.13,-0.99,3.48,2.14,2.69
0.6510,0.09,0.11,-0.98,3.54,1.95,3.54
0.6810,0.09,0.12,-1.00,3.54,1.53,2.50
0.6970,0.09,0.11,-0.98,3.36,1.34,2.14
0.7120,0.09,0.11,-0.98,3.30,1.95,2.08
0.7270,0.09,0.11,-0.99,3.23,2.44,2.08
0.7350,0.08,0.11,-0.99,3.48,1.89,2.08
0.7500,0.09,0.12,-0.99,3.54,1.77,2.75
0.7710,0.09,0.11,-0.99,3.42,2.01,3.36
0.7870,0.09,0.11,-0.99,3.30,2.26,3.60
0.8050,0.08,0.11,-0.99,3.11,2.20,3.97
0.8200,0.09,0.11,-0.99,3.48,1.89,3.66
0.8370,0.09,0.11,-0.99,3.72,1.77,2.50
0.8530,0.09,0.11,-0.99,3.36,2.26,2.32
0.8710,0.09,0.11,-0.99,3.54,2.08,2.32
0.8870,0.08,0.12,-0.99,3.48,1.95,2.50
0.9020,0.09,0.11,-0.99,3.42,1.95,3.42
0.9180,0.09,0.11,-0.99,3.42,1.59,3.97
0.9200,0.09,0.11,-0.99,3.30,1.59,4.15
0.9480,0.09,0.11,-0.99,3.23,1.71,3.78
0.9550,0.09,0.11,-0.98,3.17,2.26,3.66
0.9710,0.09,0.11,-0.98,3.30,1.89,3.60
0.9900,0.09,0.11,-0.99,3.30,2.01,2.87
1.0120,0.09,0.11,-0.99,3.17,2.26,2.32
1.0220,0.09,0.11,-0.99,3.36,1.83,2.20
1.0380,0.08,0.11,-0.98,3.36,2.14,2.69
1.0550,0.09,0.12,-0.99,3.42,1.59,2.87
1.0710,0.09,0.11,-0.99,3.42,1.83,3.05
1.0900,0.08,0.12,-0.99,3.30,2.01,2.56
1.1050,0.09,0.12,-0.99,3.23,2.50,2.44
1.1200,0.09,0.11,-0.99,3.30,2.26,2.69
1.1380,0.09,0.11,-0.99,3.17,2.26,2.75
1.1540,0.09,0.11,-0.99,3.17,2.26,2.26
1.1690,0.09,0.11,-0.99,3.17,2.26,2.56
1.1720,0.09,0.11,-0.99,3.42,1.89,2.26
1.1890,0.08,0.11,-0.99,3.36,1.83,2.14
1.2050,0.09,0.12,-0.99,3.30,2.20,2.50
1.2200,0.08,0.11,-0.99,3.30,2.26,2.62
1.2420,0.09,0.11,-0.99,3.30,1.83,2.93
1.2600,0.09,0.11,-0.99,3.30,2.26,2.08
1.2760,0.09,0.11,-0.99,3.36,2.14,1.71
1.2920,0.08,0.11,-0.99,3.48,2.08,1.95
1.3090,0.09,0.11,-0.99,3.36,2.01,2.99
1.3240,0.09,0.11,-0.99,3.54,2.20,2.44
1.3390,0.09,0.11,-0.99,3.36,1.95,2.20
1.3560,0.09,0.12,-0.99,3.36,2.01,2.75
1.3720,0.09,0.11,-0.99,3.36,2.08,2.99
1.3760,0.09,0.11,-0.99,3.42,2.14,2.75
1.4020,0.09,0.12,-0.99,3.42,2.01,3.42
1.4090,0.09,0.11,-0.99,3.36,2.01,3.60
1.4250,0.09,0.10,-0.99,3.42,1.95,2.32
1.4450,0.09,0.11,-0.99,3.17,2.26,1.83
1.4630,0.09,0.11,-0.99,3.11,2.20,1.71
1.4790,0.09,0.12,-0.99,3.23,2.01,1.83
1.4960,0.09,0.12,-0.99,3.36,2.14,2.81
1.5120,0.09,0.11,-0.99,3.30,1.71,3.05
1.5300,0.09,0.11,-0.99,3.85,1.59,2.26
1.5450,0.09,0.11,-0.99,3.23,2.14,1.89
1.5620,0.08,0.11,-0.99,3.11,2.44,1.89
1.5770,0.09,0.12,-0.99,3.30,2.32,2.01
1.5910,0.09,0.12,-0.98,3.17,2.01,2.75
1.6030,0.09,0.12,-0.98,3.36,2.01,2.87
1.6110,0.09,0.11,-0.99,3.48,1.77,2.75
1.6330,0.09,0.11,-0.99,3.36,1.89,2.50
1.6490,0.09,0.12,-0.99,3.11,1.77,3.42
1.6660,0.09,0.11,-0.99,3.11,2.01,3.48
1.6830,0.09,0.11,-0.99,3.23,2.26,2.44
1.6990,0.09,0.10,-0.99,3.23,2.14,2.01
1.7150,0.09,0.11,-0.99,3.23,2.32,1.77
1.7310,0.09,0.11,-0.99,3.36,2.08,1.59
1.7320,0.08,0.11,-0.99,3.23,2.50,2.20
1.7500,0.09,0.12,-0.99,3.17,1.83,2.81
1.7660,0.09,0.12,-0.99,3.05,2.08,3.23
1.7880,0.09,0.11,-0.99,3.11,1.89,3.66
1.8040,0.09,0.12,-0.99,3.05,2.14,3.72
1.8210,0.09,0.11,-0.99,3.30,1.89,3.54
1.8380,0.09,0.11,-0.99,3.23,2.20,2.75
1.8540,0.09,0.10,-0.99,3.48,2.50,1.46
1.8710,0.08,0.11,-0.99,3.42,2.69,1.40
1.8720,0.09,0.12,-0.99,3.30,2.26,1.65
1.8870,0.09,0.12,-0.99,3.48,2.14,2.26
1.9180,0.09,0.12,-0.99,3.30,2.20,3.17
1.9340,0.09,0.11,-0.99,3.11,2.20,2.81
1.9490,0.09,0.11,-0.99,3.05,2.32,2.69
1.9550,0.09,0.11,-0.99,3.36,2.26,2.50
1.9800,0.09,0.11,-0.99,3.30,1.83,2.26
1.9960,0.08,0.10,-0.99,3.36,2.56,2.14
2.0040,0.09,0.12,-0.99,3.36,2.26,1.77
2.0200,0.09,0.12,-0.99,3.23,2.20,2.32
2.0390,0.09,0.12,-0.99,3.17,2.14,2.44
2.0550,0.09,0.11,-0.99,3.42,1.95,2.56
2.0710,0.08,0.11,-0.99,3.30,2.08,1.89
2.0860,0.08,0.11,-0.99,3.36,2.14,1.89
2.1010,0.09,0.11,-0.99,3.42,2.01,1.83
2.1050,0.09,0.11,-0.99,3.48,2.01,1.89
2.1330,0.09,0.11,-0.99,3.42,2.50,1.89
2.1470,0.09,0.12,-0.99,3.36,2.56,2.32
2.1550,0.09,0.11,-0.98,3.30,1.83,3.05
2.1700,0.09,0.11,-0.99,3.36,1.59,2.08
2.1870,0.09,0.11,-0.99,3.30,1.89,1.95
2.2030,0.09,0.11,-0.99,3.60,1.77,1.71
2.2240,0.09,0.11,-0.99,3.42,1.89,2.20
2.2380,0.09,0.12,-0.99,3.36,2.38,2.56
2.2420,0.09,0.12,-0.98,3.11,1.95,3.17
2.2580,0.09,0.11,-0.99,3.05,1.95,3.23
2.2820,0.09,0.10,-0.99,3.36,1.89,2.69
2.2980,0.09,0.11,-0.99,3.36,2.38,1.77
2.3160,0.09,0.12,-0.99,3.48,1.95,2.14
2.3310,0.09,0.12,-0.99,3.42,1.71,3.17
2.3470,0.09,0.10,-0.99,3.17,2.08,3.60
2.3610,0.09,0.10,-0.99,3.23,2.38,2.81
2.3650,0.09,0.11,-0.99,3.23,2.38,2.08
2.3810,0.09,0.11,-0.99,3.23,2.32,2.38
2.4050,0.08,0.11,-0.99,3.42,1.95,2.50
2.4210,0.08,0.11,-0.99,3.60,1.83,2.08
2.4370,0.09,0.11,-0.99,3.48,1.77,1.77
2.4540,0.09,0.12,-0.99,3.36,1.83,2.32
2.4710,0.09,0.12,-0.99,3.42,1.71,2.81
2.4880,0.09,0.11,-0.98,3.23,1.59,3.23
2.5050,0.09,0.11,-0.99,3.11,1.77,3.11
2.5210,0.09,0.12,-0.99,3.23,2.32,2.62
2.5360,0.09,0.12,-0.98,3.05,2.14,3.05
2.5510,0.09,0.12,-0.99,3.11,1.65,4.21
2.5660,0.09,0.11,-0.99,3.11,2.20,4.09
2.5710,0.09,0.10,-0.99,3.23,2.01,3.11
2.5880,0.08,0.10,-0.99,3.30,1.77,2.99
2.6040,0.09,0.11,-0.99,3.54,2.01,2.44
2.6240,0.09,0.11,-0.99,3.42,2.20,2.20
2.6420,0.09,0.11,-0.99,3.48,2.01,2.44
2.6570,0.09,0.11,-0.99,3.30,1.89,2.62
2.6740,0.09,0.12,-0.99,3.17,1.83,2.69
2.6920,0.09,0.11,-0.99,3.30,2.32,2.93
2.7070,0.09,0.11,-0.99,3.36,2.20,2.93
2.7230,0.09,0.11,-0.99,3.30,1.71,2.81
2.7390,0.09,0.12,-0.99,3.17,2.20,3.17
2.7550,0.09,0.11,-0.99,3.11,2.20,3.54
2.7710,0.09,0.11,-0.98,3.23,1.95,3.23
2.7740,0.09,0.11,-0.99,3.36,2.26,3.17
2.7910,0.09,0.11,-0.99,3.30,2.32,3.11
2.8160,0.09,0.12,-0.99,3.17,1.89,3.42
2.8240,0.09,0.11,-0.99,3.11,2.20,3.60
2.8410,0.08,0.10,-0.99,3.42,2.14,3.48
2.8590,0.09,0.11,-0.99,3.42,2.01,2.38
2.8740,0.09,0.11,-0.99,3.36,2.08,2.20
2.8920,0.09,0.12,-0.99,3.17,2.20,2.93
2.9080,0.09,0.12,-0.99,3.30,2.26,2.99
2.9250,0.09,0.11,-0.99,3.36,1.77,3.23
