Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0140,0.08,0.12,-0.99,2.62,3.23,2.20
0.0220,0.08,0.12,-0.98,2.75,3.48,2.01
0.0390,0.08,0.12,-0.98,3.05,3.05,2.14
0.0560,0.08,0.12,-0.98,3.23,3.54,2.08
0.0750,0.08,0.13,-0.98,3.17,3.36,1.83
0.0890,0.08,0.12,-0.98,3.17,3.72,1.95
0.1050,0.08,0.12,-0.98,3.23,3.36,1.95
0.1190,0.08,0.12,-0.98,3.17,3.17,1.89
0.1340,0.08,0.12,-0.98,3.36,3.30,1.95
0.1490,0.08,0.12,-0.98,3.30,3.36,2.08
0.1640,0.08,0.12,-0.98,3.42,3.54,2.14
0.1790,0.08,0.12,-0.98,3.17,3.36,2.20
0.1950,0.09,0.12,-0.98,3.05,3.30,1.95
0.2060,0.08,0.12,-0.99,3.05,3.11,2.08
0.2230,0.08,0.12,-0.99,3.30,3.36,2.14
0.2390,0.09,0.12,-0.99,3.17,3.78,2.14
0.2540,0.08,0.12,-0.98,3.42,3.11,2.20
0.2690,0.08,0.13,-0.98,3.36,3.17,2.08
0.2850,0.08,0.13,-0.98,3.48,3.30,2.01
0.2990,0.08,0.13,-0.99,3.48,3.42,2.01
0.3060,0.08,0.12,-0.99,3.11,3.42,1.95
0.3210,0.09,0.11,-0.99,2.81,3.23,2.01
0.3430,0.08,0.12,-0.98,2.87,3.30,2.20
0.3590,0.08,0.12,-0.98,2.99,3.17,2.26
0.3750,0.08,0.13,-0.98,3.30,3.30,2.20
0.3900,0.08,0.13,-0.98,3.30,3.17,2.01
0.3920,0.08,0.12,-0.99,2.99,3.11,2.20
0.4080,0.08,0.11,-0.98,2.81,3.54,2.08
0.4300,0.08,0.11,-0.98,2.99,3.05,2.20
0.4460,0.08,0.12,-0.98,3.23,3.36,2.20
0.4640,0.08,0.13,-0.98,3.30,3.48,2.14
0.4790,0.08,0.13,-0.98,2.93,3.54,2.01
0.4950,0.08,0.12,-0.98,2.81,3.42,2.14
0.4970,0.08,0.11,-0.99,2.81,3.17,2.14
0.5140,0.08,0.11,-0.98,2.93,3.30,1.95
0.5310,0.08,0.13,-0.98,3.17,3.05,2.08
0.5470,0.08,0.13,-0.98,3.42,3.23,2.20
0.5630,0.08,0.13,-0.98,3.17,3.11,1.89
0.5800,0.08,0.12,-0.98,3.05,3.17,2.01
0.5980,0.08,0.11,-0.98,2.93,3.11,2.14
0.6130,0.08,0.12,-0.98,3.30,3.23,2.14
0.6300,0.08,0.13,-0.98,3.30,3.11,2.01
0.6460,0.08,0.13,-0.98,3.42,3.36,2.08
0.6470,0.08,0.13,-0.98,3.36,3.54,2.14
0.6750,0.08,0.12,-0.98,3.05,3.54,2.20
0.6820,0.08,0.11,-0.99,2.87,3.05,1.95
0.6980,0.08,0.12,-0.99,3.11,3.36,2.08
0.7130,0.08,0.12,-0.98,3.17,3.42,2.20
0.7300,0.08,0.13,-0.98,3.30,3.54,2.26
0.7470,0.08,0.13,-0.98,3.36,3.48,1.89
