Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0110,0.08,0.10,-0.98,2.56,3.97,1.95
0.0260,0.07,0.11,-0.99,3.23,3.78,1.95
0.0330,0.07,0.12,-1.00,2.75,4.09,1.83
0.0560,0.08,0.11,-0.99,2.87,3.66,1.83
0.0710,0.08,0.11,-0.99,3.05,3.66,1.89
0.0830,0.08,0.11,-0.99,2.93,4.03,1.95
0.1000,0.07,0.11,-0.99,2.75,3.97,2.01
0.1160,0.07,0.11,-0.99,2.99,4.15,2.08
0.1310,0.08,0.11,-0.99,3.30,3.60,2.14
0.1330,0.08,0.11,-0.99,3.05,3.91,2.20
0.1610,0.08,0.11,-0.99,3.17,3.66,1.95
0.1760,0.08,0.11,-0.99,2.93,4.09,1.89
0.1830,0.07,0.11,-0.99,2.81,3.78,2.01
0.2060,0.07,0.11,-0.99,3.23,3.78,1.95
0.2210,0.08,0.11,-0.99,3.05,3.91,1.95
0.2330,0.08,0.11,-0.99,2.99,3.78,2.08
0.2500,0.08,0.11,-0.99,3.05,3.42,2.14
0.2660,0.08,0.11,-0.99,2.93,3.85,2.08
0.2810,0.07,0.11,-0.99,2.93,3.72,2.08
0.2960,0.07,0.11,-0.99,2.99,3.78,2.08
0.3000,0.07,0.11,-0.99,3.11,3.66,1.95
0.3260,0.08,0.11,-0.99,2.81,3.72,2.01
0.3410,0.08,0.11,-0.99,2.93,4.03,1.89
0.3560,0.08,0.11,-0.99,3.05,3.85,2.01
0.3670,0.07,0.11,-0.99,3.11,3.72,2.01
0.3820,0.08,0.11,-0.99,3.11,3.60,2.01
0.4000,0.07,0.11,-0.99,3.11,3.97,2.08
0.4160,0.07,0.11,-0.99,2.93,4.27,2.08
0.4170,0.07,0.11,-0.99,2.87,3.66,2.08
0.4460,0.08,0.11,-0.99,2.99,3.72,2.08
0.4610,0.07,0.11,-0.99,2.93,3.85,2.01
0.4760,0.07,0.11,-0.99,2.87,3.60,1.95
0.4830,0.08,0.11,-0.99,2.93,3.78,1.89
0.5060,0.07,0.11,-0.99,2.93,3.60,2.14
0.5210,0.07,0.11,-0.99,2.69,3.91,2.08
0.5330,0.08,0.11,-0.99,3.11,3.85,1.89
0.5500,0.08,0.11,-0.99,3.05,4.15,2.01
0.5660,0.07,0.11,-0.99,2.93,3.72,1.95
0.5820,0.07,0.11,-0.99,2.99,3.78,2.01
0.5960,0.08,0.11,-0.99,2.75,3.72,1.95
0.6120,0.08,0.11,-0.99,2.87,3.85,2.01
0.6270,0.07,0.11,-0.99,3.05,3.60,1.95
0.6420,0.08,0.11,-0.99,2.99,3.97,2.14
0.6500,0.07,0.11,-0.99,3.11,3.66,2.14
0.6720,0.07,0.11,-0.99,3.05,3.97,2.08
0.6830,0.07,0.11,-1.00,2.93,3.97,2.08
0.7000,0.07,0.11,-0.97,2.93,3.60,1.95
0.7180,0.08,0.11,-1.03,3.42,3.78,2.01
0.7180,0.08,0.12,-1.00,2.99,3.72,2.08
