Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0110,0.08,0.12,-1.00,2.99,4.03,1.95
0.0270,0.08,0.12,-1.00,2.93,4.09,1.95
0.0410,0.08,0.11,-0.99,2.75,3.91,2.08
0.0570,0.08,0.11,-1.00,3.36,3.91,2.08
0.0720,0.08,0.11,-1.00,2.99,3.91,2.14
0.0830,0.08,0.11,-0.99,2.93,4.03,1.89
0.1000,0.08,0.11,-1.00,3.23,3.85,1.89
0.1170,0.08,0.12,-0.99,2.99,3.85,2.14
0.1310,0.08,0.12,-1.00,3.11,4.03,2.01
0.1480,0.08,0.12,-0.99,3.05,3.78,2.14
0.1620,0.08,0.12,-0.99,3.05,3.97,2.08
0.1770,0.08,0.12,-0.99,2.93,3.91,1.95
0.1920,0.10,0.15,-0.99,2.93,3.97,1.95
0.2080,0.08,0.14,-0.99,2.99,3.85,3.42
0.2220,0.10,0.16,-0.99,2.75,3.36,5.92
0.2330,0.09,0.13,-0.98,2.56,2.99,9.09
0.2500,0.08,0.16,-0.98,2.38,2.50,10.25
0.2660,0.09,0.14,-0.99,2.01,1.95,15.87
0.2830,0.09,0.11,-0.99,1.95,1.83,15.63
0.2970,0.09,0.12,-1.00,1.89,2.26,14.95
0.3120,0.10,0.11,-1.00,2.14,1.95,13.31
0.3270,0.08,0.09,-1.00,2.56,2.14,12.21
0.3420,0.08,0.11,-1.00,2.26,2.14,12.08
0.3570,0.09,0.11,-0.99,2.32,2.50,10.99
0.3730,0.08,0.11,-1.00,2.32,1.95,12.33
0.3830,0.08,0.10,-1.00,2.20,2.44,12.45
0.4000,0.08,0.10,-1.00,2.14,2.81,10.62
0.4170,0.09,0.10,-1.00,2.32,2.87,9.03
0.4320,0.07,0.08,-1.00,2.32,3.42,5.74
0.4480,0.07,0.09,-1.00,3.23,3.66,3.36
0.4620,0.07,0.10,-1.00,3.23,3.66,2.56
0.4770,0.06,0.12,-1.00,3.05,3.42,3.05
0.4930,0.05,0.09,-1.00,2.93,3.42,4.15
0.5000,0.05,0.08,-1.00,2.87,3.54,3.60
0.5160,0.06,0.09,-1.00,2.93,3.66,2.38
0.5320,0.07,0.11,-1.00,3.05,4.03,2.14
0.5530,0.08,0.12,-0.99,3.17,3.66,2.14
0.5680,0.08,0.12,-1.00,3.05,4.03,2.20
0.5820,0.08,0.12,-0.99,2.99,3.60,2.20
0.5980,0.08,0.12,-0.99,3.05,3.78,2.20
0.6140,0.08,0.12,-0.99,3.05,4.03,2.20
0.6300,0.08,0.11,-0.99,2.69,4.03,1.95
0.6440,0.08,0.11,-0.99,2.93,4.15,2.20
0.6530,0.08,0.11,-0.99,2.93,4.21,2.26
0.6700,0.08,0.10,-1.00,2.93,3.97,2.20
0.6910,0.07,0.05,-1.00,2.62,3.11,5.68
0.7060,0.06,0.10,-1.00,3.05,3.23,5.49
0.7210,0.07,0.10,-1.00,2.69,3.48,4.03
0.7360,0.06,0.09,-1.00,2.56,3.91,2.75
0.7510,0.05,0.09,-1.00,3.05,4.27,1.77
