Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0120,0.07,0.12,-0.99,2.62,2.75,1.89
0.0270,0.07,0.13,-0.99,2.56,2.69,1.89
0.0340,0.07,0.12,-0.99,2.50,2.44,1.83
0.0510,0.07,0.12,-0.99,2.99,2.62,1.83
0.0680,0.07,0.12,-0.99,3.54,2.38,1.77
0.0870,0.07,0.12,-0.99,3.85,1.77,1.71
0.1000,0.07,0.13,-0.99,3.72,1.65,1.59
0.1170,0.07,0.13,-1.00,3.66,1.65,1.65
0.1330,0.07,0.13,-0.99,3.54,1.59,1.83
0.1340,0.07,0.12,-0.99,3.11,2.14,1.71
0.1620,0.07,0.12,-0.99,3.23,1.83,1.77
0.1770,0.07,0.12,-0.99,3.30,1.59,1.77
0.1930,0.07,0.13,-0.99,3.36,1.77,1.83
0.2020,0.07,0.12,-0.99,3.42,1.89,1.83
0.2170,0.07,0.12,-0.99,3.54,1.95,1.77
0.2340,0.07,0.12,-0.99,3.66,1.40,1.89
0.2510,0.07,0.12,-0.99,3.54,1.59,1.71
0.2670,0.07,0.12,-0.99,3.60,2.01,1.77
0.2820,0.07,0.12,-0.99,3.60,1.89,1.77
0.2860,0.07,0.12,-0.99,3.48,1.46,1.71
0.3010,0.07,0.12,-0.99,3.11,1.34,1.71
0.3170,0.07,0.12,-0.99,3.60,1.59,1.71
0.3340,0.07,0.12,-0.99,3.85,1.65,1.77
0.3580,0.07,0.12,-0.99,3.60,1.71,1.77
0.3670,0.07,0.12,-0.99,3.42,1.59,1.71
0.3860,0.07,0.13,-1.00,3.72,1.46,1.95
0.4010,0.07,0.13,-0.99,3.66,1.71,1.83
0.4180,0.07,0.13,-0.99,3.48,1.77,1.83
0.4330,0.07,0.12,-0.99,3.54,2.01,1.65
0.4510,0.07,0.12,-0.99,3.91,1.95,1.89
0.4670,0.07,0.12,-0.99,3.85,1.89,1.89
0.4830,0.07,0.13,-0.99,4.03,1.95,1.83
0.4870,0.07,0.12,-0.99,3.48,1.40,1.77
0.5140,0.07,0.12,-0.99,3.48,0.85,1.53
0.5290,0.07,0.13,-0.99,3.66,1.53,1.83
0.5380,0.07,0.12,-0.99,3.48,1.65,1.89
0.5540,0.07,0.12,-0.99,3.54,1.28,1.89
0.5710,0.07,0.13,-0.99,3.91,1.65,1.95
0.5880,0.07,0.13,-0.99,3.42,1.89,1.83
0.6040,0.07,0.12,-0.99,3.11,2.20,1.71
0.6220,0.07,0.13,-0.99,3.11,1.71,1.71
0.6370,0.07,0.12,-0.99,3.11,1.77,1.71
0.6530,0.07,0.12,-0.99,3.30,1.40,1.65
0.6690,0.07,0.13,-0.99,3.30,1.53,1.77
0.6850,0.07,0.12,-0.99,3.30,1.53,1.77
0.6880,0.07,0.12,-0.99,3.54,1.77,1.77
0.7150,0.07,0.12,-0.99,3.66,2.01,1.77
0.7210,0.07,0.13,-0.99,3.91,1.83,1.77
0.7380,0.07,0.13,-0.99,3.66,1.77,1.77
0.7550,0.07,0.12,-0.99,3.23,1.89,1.71
0.7700,0.07,0.12,-0.99,3.78,1.71,1.83
0.7900,0.07,0.13,-0.99,3.72,1.83,1.89
0.8050,0.07,0.13,-0.99,3.36,1.77,1.77
0.8220,0.07,0.12,-0.99,3.85,1.53,1.71
0.8370,0.07,0.12,-0.99,3.78,1.46,1.77
0.8520,0.07,0.12,-0.99,3.91,1.71,1.71
0.8670,0.07,0.12,-0.99,4.09,1.34,1.77
0.8770,0.07,0.12,-0.98,3.60,1.59,1.65
0.8940,0.07,0.12,-0.99,4.03,1.40,1.77
0.9100,0.07,0.13,-0.99,4.03,1.77,1.83
0.9270,0.07,0.13,-0.99,3.72,1.89,1.89
0.9440,0.07,0.13,-0.99,3.54,1.95,1.83
0.9600,0.07,0.13,-0.99,3.48,1.95,1.83
0.9760,0.07,0.12,-0.99,3.36,1.77,1.77
0.9910,0.07,0.12,-0.99,3.23,1.34,1.65
1.0060,0.07,0.12,-0.99,3.23,1.65,1.71
1.0220,0.07,0.13,-0.99,3.36,1.59,1.71
1.0380,0.07,0.12,-0.99,3.54,1.77,2.01
1.0540,0.07,0.13,-0.99,3.72,1.83,1.77
1.0690,0.07,0.13,-0.99,3.66,1.71,1.89
1.0780,0.07,0.13,-0.99,3.54,1.89,1.77
1.0950,0.07,0.13,-0.99,3.54,1.28,1.77
1.1110,0.07,0.13,-0.99,3.60,1.34,1.89
1.1290,0.07,0.13,-0.99,3.72,1.10,1.71
1.1440,0.07,0.13,-0.99,3.66,1.28,1.83
1.1590,0.07,0.13,-0.99,3.23,1.89,1.71
1.1740,0.07,0.13,-0.99,3.11,1.46,1.83
1.1910,0.07,0.13,-0.99,3.11,1.46,1.71
1.1940,0.07,0.13,-0.99,2.81,1.71,1.71
1.2100,0.07,0.12,-0.98,2.81,1.83,2.08
1.2370,0.07,0.13,-1.00,3.66,1.89,1.83
1.2470,0.07,0.13,-0.99,3.78,1.77,1.83
1.2650,0.07,0.13,-0.99,3.30,1.89,1.77
1.2800,0.07,0.13,-0.99,3.05,1.89,1.83
1.2980,0.07,0.13,-0.99,3.42,1.40,1.77
1.3150,0.07,0.13,-0.99,3.54,1.22,1.89
1.3300,0.07,0.13,-0.99,3.11,1.28,1.71
1.3470,0.07,0.12,-0.99,3.23,1.53,1.65
1.3630,0.07,0.12,-0.99,3.42,1.65,1.65
1.3790,0.07,0.12,-0.99,3.48,2.14,1.83
1.3940,0.07,0.13,-0.99,3.23,1.89,1.77
1.4100,0.07,0.13,-0.99,3.42,2.08,1.83
1.4250,0.07,0.13,-0.99,3.17,2.08,1.77
1.4400,0.07,0.12,-0.99,3.48,1.77,1.71
