Timestamp, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0.0120,0.08,0.13,-0.99,2.75,3.91,2.20
0.0270,0.08,0.12,-0.99,2.81,3.72,1.95
0.0420,0.08,0.12,-0.99,2.93,3.66,2.14
0.0560,0.08,0.12,-0.99,2.99,3.78,2.08
0.0670,0.09,0.12,-0.99,3.05,4.09,2.01
0.0840,0.08,0.11,-0.99,2.93,3.60,2.08
0.1000,0.09,0.11,-0.99,2.75,3.54,2.20
0.1170,0.09,0.11,-0.99,2.87,3.97,2.14
0.1320,0.09,0.11,-0.99,3.11,3.60,2.14
0.1460,0.09,0.12,-0.99,3.11,3.97,2.08
0.1610,0.08,0.12,-0.99,3.11,3.78,1.95
0.1760,0.09,0.12,-0.99,3.23,3.91,1.95
0.1910,0.08,0.12,-0.99,3.17,4.15,2.26
0.2070,0.07,0.13,-0.99,3.54,3.78,2.08
0.2170,0.08,0.13,-0.99,3.23,3.30,6.90
0.2340,0.09,0.12,-1.00,3.17,2.99,6.71
0.2500,0.09,0.11,-0.99,3.17,3.66,4.39
0.2660,0.08,0.12,-0.99,3.05,3.42,2.20
0.2810,0.08,0.12,-0.99,2.87,3.97,2.01
0.2960,0.08,0.13,-0.99,2.56,3.66,1.77
0.3120,0.08,0.14,-0.99,3.11,3.91,1.04
0.3280,0.09,0.10,-0.99,3.42,4.21,-0.24
0.3340,0.09,0.11,-0.99,3.36,3.85,0.92
0.3530,0.09,0.12,-0.99,3.11,4.09,1.34
0.3730,0.09,0.12,-0.99,2.99,3.85,0.79
0.3900,0.08,0.10,-0.99,2.50,3.85,1.40
0.3910,0.08,0.12,-0.99,2.62,3.66,2.14
0.4210,0.08,0.12,-0.99,2.87,3.36,2.20
0.4370,0.06,0.09,-1.00,3.11,3.23,2.56
0.4530,0.07,0.10,-1.00,2.14,2.81,7.87
0.4570,0.13,0.16,-0.98,2.26,2.56,10.44
0.4850,0.08,0.15,-0.99,2.56,3.30,6.10
0.4910,0.08,0.13,-0.99,2.93,3.97,2.99
0.5060,0.09,0.11,-0.99,3.11,3.85,2.56
0.5220,0.09,0.11,-0.99,2.81,3.60,3.85
0.5440,0.08,0.13,-0.99,2.81,3.36,4.33
0.5610,0.09,0.12,-0.99,2.62,3.78,2.50
0.5770,0.09,0.12,-0.99,2.81,3.72,2.14
0.5940,0.09,0.12,-0.99,2.87,3.78,2.20
0.6100,0.09,0.12,-0.99,2.75,3.60,2.01
0.6250,0.08,0.15,-0.99,2.75,3.91,1.83
0.6420,0.10,0.16,-0.98,3.42,5.00,-5.80
0.6560,0.09,0.09,-1.00,4.21,5.37,-7.51
0.6720,0.09,0.12,-0.99,4.33,5.68,-8.97
0.6880,0.11,0.10,-0.99,4.64,6.35,-12.33
0.7040,0.07,0.10,-1.00,5.00,8.00,-22.03
0.7200,0.07,0.14,-0.99,4.15,6.53,-14.89
0.7280,0.07,0.12,-0.99,3.91,5.31,-8.42
0.7440,0.08,0.11,-0.99,3.23,4.94,-4.70
0.7600,0.08,0.12,-0.99,3.48,4.88,-4.82
0.7760,0.08,0.12,-0.99,3.17,4.70,-3.05
0.7980,0.08,0.12,-0.99,2.87,4.03,0.31
0.8140,0.08,0.11,-0.99,3.05,3.78,2.08
0.8290,0.08,0.12,-0.99,2.99,4.03,2.08
0.8460,0.08,0.12,-0.99,2.69,3.48,2.20
0.8610,0.08,0.13,-0.99,2.99,3.60,2.26
0.8760,0.07,0.13,-0.99,2.81,3.48,5.07
0.8920,0.07,0.15,-0.99,3.23,3.36,5.00
0.9080,0.08,0.10,-0.99,3.05,3.36,5.68
0.9230,0.09,0.10,-0.99,2.87,3.48,4.70
0.9380,0.10,0.11,-0.99,2.87,3.54,3.23
0.9480,0.09,0.12,-0.99,2.81,3.48,2.69
0.9640,0.08,0.12,-0.99,2.87,3.72,3.17
0.9830,0.08,0.12,-0.99,2.99,3.36,3.72
0.9980,0.09,0.11,-0.99,3.17,3.60,3.05
1.0040,0.08,0.12,-0.99,2.99,4.15,2.50
1.0300,0.08,0.12,-0.99,2.75,3.60,3.42
1.0450,0.07,0.13,-0.99,2.69,3.60,5.31
1.0550,0.09,0.12,-0.99,2.62,2.99,5.68
1.0700,0.10,0.11,-0.99,2.69,3.30,4.70
1.0870,0.09,0.11,-0.99,2.93,3.60,2.99
1.1020,0.08,0.12,-0.99,3.23,3.72,2.26
1.1220,0.07,0.13,-0.99,2.99,3.78,2.50
1.1370,0.07,0.13,-0.99,3.05,3.66,3.23
1.1520,0.08,0.14,-0.99,2.44,3.23,6.04
1.1670,0.08,0.13,-0.99,2.20,2.38,11.35
1.1770,0.11,0.10,-0.99,2.32,2.75,8.12
1.1920,0.11,0.09,-0.99,2.75,3.91,3.66
1.2090,0.10,0.10,-0.99,2.81,3.78,2.44
1.2260,0.09,0.12,-0.99,3.23,3.72,2.14
1.2410,0.08,0.12,-0.99,3.11,3.85,2.20
1.2570,0.08,0.12,-0.99,2.99,3.60,2.26
1.2720,0.07,0.13,-0.99,2.81,3.54,2.87
1.2870,0.08,0.12,-0.99,2.99,3.36,3.48
1.3020,0.09,0.11,-0.99,2.87,3.97,2.81
1.3090,0.09,0.12,-0.99,3.17,3.85,2.08
